age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
28,Private,210507,Some-college,Divorced,Other-service,Not-in-family,White,Female,0,0,0,United-States,>50K
28,Private,89507,Bachelors,Never-married,Sales,Not-in-family,White,Male,0,0,0,United-States,<=50K
34,Self-emp-not-inc,133700,Some-college,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,2,United-States,<=50K
28,Private,146367,Some-college,Never-married,Prof-specialty,Own-child,White,Female,0,0,0,United-States,<=50K
24,Private,149019,Masters,Divorced,Transport-moving,Other-relative,White,Male,0,0,2,United-States,<=50K
27,Private,178163,HS-grad,Never-married,Sales,Unmarried,Black,Female,0,0,0,United-States,<=50K
24,Private,83414,7th-8th,Never-married,Sales,Husband,White,Male,0,0,2,United-States,<=50K
23,Private,265287,HS-grad,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,0,0,0,United-States,<=50K
28,Private,75797,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,0,United-States,<=50K
35,Private,167193,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Female,0,0,2,United-States,<=50K
28,Private,117029,Assoc-acdm,Never-married,Farming-fishing,Unmarried,White,Female,0,0,0,United-States,<=50K
35,Private,224964,Masters,Divorced,Other-service,Own-child,Black,Female,0,0,0,United-States,<=50K
33,Local-gov,191171,Some-college,Divorced,Craft-repair,Husband,White,Female,0,0,0,United-States,<=50K
30,Private,94586,HS-grad,Divorced,Tech-support,Not-in-family,White,Male,0,0,0,United-States,<=50K
24,Private,149272,Assoc-acdm,Never-married,Other-service,Husband,White,Female,0,0,0,United-States,<=50K
23,Private,124602,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,0,United-States,<=50K
31,Private,138963,Assoc-voc,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,0,United-States,<=50K
29,Private,198365,HS-grad,Never-married,Exec-managerial,Other-relative,White,Female,0,0,0,United-States,<=50K
20,Private,189251,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,0,United-States,<=50K
29,Private,246954,Some-college,Never-married,Other-service,Husband,White,Female,0,0,0,United-States,<=50K
35,State-gov,84444,Masters,Never-married,Craft-repair,Husband,White,Male,0,0,0,United-States,<=50K
30,Private,269222,Some-college,Never-married,Other-service,Unmarried,Black,Female,0,0,0,United-States,<=50K
30,Private,172224,Prof-school,Never-married,Other-service,Own-child,White,Male,0,0,0,United-States,<=50K
29,Private,189878,11th,Never-married,Craft-repair,Husband,White,Female,1,0,0,United-States,<=50K
22,Private,172325,Masters,Never-married,Other-service,Own-child,White,Female,0,0,0,United-States,<=50K
28,Federal-gov,137722,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,0,United-States,<=50K
29,Private,105383,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,2,United-States,<=50K
22,Private,150091,10th,Never-married,Other-service,Own-child,White,Male,0,0,0,United-States,<=50K
23,Private,125981,Some-college,Never-married,Other-service,Own-child,White,Female,0,0,0,United-States,<=50K
29,Private,260405,Some-college,Never-married,Handlers-cleaners,Husband,White,Male,0,0,0,Mexico,<=50K
29,Private,146617,Assoc-voc,Never-married,Sales,Own-child,White,Female,0,0,0,United-States,<=50K
24,Private,176151,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,0,United-States,<=50K
17,Private,200392,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,0,0,United-States,<=50K
26,Private,120420,7th-8th,Never-married,Transport-moving,Not-in-family,White,Male,0,0,2,United-States,<=50K
29,Private,109968,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,1,0,0,United-States,>50K
25,Private,85391,HS-grad,Separated,Sales,Own-child,White,Female,0,1,0,United-States,<=50K
28,Private,158747,HS-grad,Never-married,Adm-clerical,Unmarried,White,Female,0,0,0,United-States,<=50K
31,Private,120100,HS-grad,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,0,0,0,United-States,<=50K
26,Private,191575,Bachelors,Married-civ-spouse,Sales,Not-in-family,White,Female,0,0,0,United-States,<=50K
33,Local-gov,96847,Prof-school,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
28,Private,152664,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,2,Taiwan,<=50K
