age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
41,Private,159243,HS-grad,Divorced,Prof-specialty,Wife,White,Female,0,0,2,United-States,<=50K
50,Private,191108,Bachelors,Divorced,Other-service,Unmarried,White,Male,0,0,0,United-States,<=50K
27,Private,129284,HS-grad,Married-civ-spouse,Transport-moving,Own-child,White,Male,0,1,0,United-States,<=50K
27,Local-gov,206775,HS-grad,Never-married,Transport-moving,Other-relative,White,Female,0,0,0,United-States,<=50K
33,Private,202653,HS-grad,Married-spouse-absent,Other-service,Unmarried,White,Female,0,0,0,United-States,<=50K
40,Private,157366,Some-college,Divorced,Exec-managerial,Wife,Other,Female,0,0,0,United-States,>50K
36,Private,167381,Bachelors,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,2,Nicaragua,<=50K
29,Private,181958,Bachelors,Never-married,Sales,Unmarried,White,Female,0,0,2,United-States,<=50K
43,Private,142968,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,1,0,0,South,<=50K
34,Self-emp-not-inc,190692,Assoc-voc,Divorced,Transport-moving,Not-in-family,White,Female,0,0,0,South,<=50K
30,Self-emp-not-inc,138284,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0,Germany,>50K
32,Private,172322,HS-grad,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,0,United-States,<=50K
37,Private,210202,HS-grad,Never-married,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,0,Mexico,<=50K
40,Private,165796,1st-4th,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Male,0,0,2,South,<=50K
39,Local-gov,131010,HS-grad,Divorced,Exec-managerial,Unmarried,White,Female,0,0,0,United-States,<=50K
34,Private,164709,Assoc-voc,Never-married,Handlers-cleaners,Husband,White,Male,0,0,2,United-States,>50K
34,Private,161999,Assoc-acdm,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,0,United-States,<=50K
34,Private,225085,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,<=50K
39,Private,159468,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,2,United-States,>50K
50,Private,205720,HS-grad,Married-civ-spouse,Other-service,Own-child,White,Male,0,0,0,United-States,<=50K
43,Local-gov,163188,HS-grad,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,1,0,2,United-States,<=50K
45,Federal-gov,178486,HS-grad,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,0,0,0,China,<=50K
38,Private,178730,HS-grad,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,0,0,0,United-States,>50K
39,Private,163567,Bachelors,Married-spouse-absent,Craft-repair,Unmarried,Other,Female,0,0,0,United-States,<=50K
35,Private,198707,Assoc-acdm,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,0,0,0,Jamaica,<=50K
41,Private,236724,1st-4th,Divorced,Handlers-cleaners,Unmarried,White,Male,0,0,0,United-States,<=50K
41,Private,171250,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,0,France,<=50K
36,Private,161537,Masters,Divorced,Adm-clerical,Husband,White,Male,0,0,2,United-States,>50K
30,Private,139806,Some-college,Married-civ-spouse,Adm-clerical,Other-relative,Other,Male,0,0,0,Ecuador,>50K
39,Private,173626,Preschool,Divorced,Exec-managerial,Other-relative,Black,Female,0,0,0,United-States,<=50K
45,Private,194570,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,>50K
33,Private,161264,Assoc-acdm,Never-married,Prof-specialty,Own-child,White,Female,0,0,0,Dominican-Republic,<=50K
37,Local-gov,163856,HS-grad,Divorced,Tech-support,Unmarried,White,Male,0,0,0,United-States,<=50K
46,Self-emp-not-inc,165520,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,China,>50K
39,Private,151090,HS-grad,Married-civ-spouse,Farming-fishing,Not-in-family,Asian-Pac-Islander,Female,0,0,2,Poland,<=50K
30,Local-gov,167184,Masters,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,0,Dominican-Republic,<=50K
42,Local-gov,219449,HS-grad,Married-civ-spouse,Tech-support,Husband,Black,Male,0,0,0,Philippines,>50K
20,Private,208155,HS-grad,Never-married,Adm-clerical,Husband,White,Male,0,0,2,United-States,<=50K
29,Private,196982,Bachelors,Never-married,Farming-fishing,Own-child,Black,Female,0,0,0,United-States,<=50K
40,Private,183219,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,>50K
36,Private,171964,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0,Philippines,<=50K
32,Private,172902,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Female,0,0,2,United-States,>50K
39,Private,217858,HS-grad,Never-married,Sales,Unmarried,Black,Female,0,0,0,Mexico,<=50K
44,Private,196491,Assoc-voc,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,0,United-States,<=50K
40,Private,161034,Some-college,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,1,Poland,<=50K
39,Private,163111,Bachelors,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,0,0,0,United-States,<=50K
31,Private,177439,HS-grad,Never-married,Prof-specialty,Unmarried,White,Female,0,0,0,United-States,<=50K
36,Local-gov,209797,Bachelors,Never-married,Craft-repair,Not-in-family,White,Female,0,0,0,United-States,<=50K
25,Private,182922,HS-grad,Never-married,Sales,Own-child,White,Male,0,0,0,United-States,<=50K
34,Federal-gov,132950,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0,Taiwan,>50K
29,Self-emp-not-inc,169696,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,0,United-States,<=50K
39,Local-gov,191715,Some-college,Married-civ-spouse,Craft-repair,Not-in-family,Black,Male,0,0,0,United-States,<=50K
46,Local-gov,184532,HS-grad,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,0,United-States,<=50K
34,Private,196377,HS-grad,Never-married,Sales,Wife,White,Female,0,0,0,India,<=50K
35,Self-emp-inc,181830,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,>50K
26,Local-gov,205821,Bachelors,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,0,1,2,United-States,<=50K
35,Private,151742,Bachelors,Separated,Craft-repair,Not-in-family,White,Female,0,0,0,United-States,<=50K
39,Private,168735,Assoc-voc,Married-civ-spouse,Other-service,Wife,White,Female,0,0,0,United-States,<=50K
25,Self-emp-not-inc,183948,Assoc-voc,Married-civ-spouse,Exec-managerial,Own-child,White,Male,0,0,2,United-States,<=50K
32,Private,149653,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,0,United-States,>50K
44,Private,172554,HS-grad,Married-spouse-absent,Adm-clerical,Own-child,White,Male,0,0,0,United-States,<=50K
27,Private,200984,HS-grad,Never-married,Prof-specialty,Own-child,White,Female,0,0,0,United-States,<=50K
36,Private,193001,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,Poland,<=50K
34,Private,165297,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,2,Italy,>50K
38,Self-emp-not-inc,166661,Some-college,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,0,0,0,United-States,<=50K
28,Private,199112,Assoc-voc,Never-married,Other-service,Own-child,White,Male,0,0,0,United-States,<=50K
28,Local-gov,190972,Masters,Never-married,Transport-moving,Husband,White,Male,0,0,0,Taiwan,<=50K
38,Private,179089,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0,United-States,>50K
39,Private,181066,Bachelors,Separated,Craft-repair,Wife,White,Female,0,0,2,Cuba,<=50K
26,Private,165382,Assoc-acdm,Never-married,Prof-specialty,Unmarried,White,Female,0,0,0,United-States,<=50K
48,Private,190914,HS-grad,Divorced,Other-service,Not-in-family,White,Male,0,0,0,Mexico,<=50K
45,Self-emp-not-inc,163094,7th-8th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,2,United-States,>50K
40,Private,158457,Some-college,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,0,Haiti,>50K
34,Private,159604,HS-grad,Never-married,Adm-clerical,Husband,White,Male,0,1,0,United-States,>50K
31,Private,193449,Masters,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,>50K
33,Private,146083,HS-grad,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,1,0,2,Peru,<=50K
41,Private,150927,Masters,Separated,Prof-specialty,Not-in-family,White,Female,0,0,0,United-States,<=50K
32,Private,181157,Some-college,Married-spouse-absent,Other-service,Wife,White,Male,0,0,0,United-States,<=50K
46,Self-emp-not-inc,172945,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1,2,United-States,>50K
39,Private,127085,HS-grad,Divorced,Sales,Own-child,Asian-Pac-Islander,Male,0,0,0,Germany,<=50K
42,Private,159173,HS-grad,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,2,United-States,<=50K
35,Private,201187,9th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,0,Puerto-Rico,>50K
42,Private,172741,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,South,>50K
35,Private,180484,7th-8th,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,Mexico,>50K
38,State-gov,163494,Some-college,Married-civ-spouse,Prof-specialty,Other-relative,Other,Female,0,0,0,Hong,>50K
33,Private,195174,Assoc-voc,Never-married,Other-service,Husband,White,Female,0,0,0,United-States,<=50K
40,Private,184352,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,0,Taiwan,<=50K
37,Federal-gov,139702,Bachelors,Married-civ-spouse,Craft-repair,Own-child,Asian-Pac-Islander,Male,0,0,2,England,<=50K
35,Private,217544,Masters,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0,United-States,<=50K
28,Private,166182,Assoc-voc,Married-civ-spouse,Exec-managerial,Unmarried,White,Female,0,0,0,Dominican-Republic,<=50K
48,Private,157777,HS-grad,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,0,0,0,United-States,<=50K
41,Private,185395,HS-grad,Widowed,Sales,Not-in-family,Black,Female,0,0,0,Italy,<=50K
43,Private,150877,Masters,Separated,Prof-specialty,Own-child,White,Male,0,0,2,United-States,<=50K
26,Private,166845,Some-college,Never-married,Exec-managerial,Own-child,White,Female,0,0,0,United-States,<=50K
44,Private,186480,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,United-States,<=50K
34,Private,148904,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,<=50K
24,Private,148048,HS-grad,Never-married,Other-service,Own-child,White,Female,0,0,2,United-States,<=50K
28,State-gov,167357,Bachelors,Married-civ-spouse,Transport-moving,Not-in-family,Black,Male,0,0,0,United-States,<=50K
31,Private,147329,HS-grad,Never-married,Exec-managerial,Wife,Other,Female,0,0,0,India,<=50K
37,Self-emp-inc,177547,HS-grad,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,0,0,0,United-States,<=50K
39,Private,167869,5th-6th,Never-married,Other-service,Other-relative,Other,Female,0,0,0,India,<=50K
34,Private,176855,HS-grad,Divorced,Handlers-cleaners,Own-child,White,Female,0,0,2,United-States,<=50K
36,Private,200991,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
33,Private,158857,Assoc-voc,Divorced,Transport-moving,Other-relative,Asian-Pac-Islander,Male,0,0,0,Thailand,<=50K
34,Private,186933,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,<=50K
28,Private,220092,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,0,United-States,<=50K
31,Private,163852,Some-college,Divorced,Adm-clerical,Own-child,White,Male,0,0,1,Cuba,<=50K
33,State-gov,125659,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,1,United-States,>50K
30,Private,156091,5th-6th,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0,Italy,>50K
26,Private,123822,HS-grad,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,0,United-States,>50K
41,Private,208736,HS-grad,Married-civ-spouse,Sales,Husband,White,Female,0,0,0,United-States,<=50K
40,Local-gov,167507,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,1,2,Mexico,<=50K
23,Self-emp-not-inc,189758,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,1,United-States,<=50K
34,Private,137975,12th,Separated,Priv-house-serv,Not-in-family,White,Female,0,0,0,United-States,<=50K
34,Private,162345,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,United-States,>50K
28,Private,176479,HS-grad,Married-spouse-absent,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,0,0,0,United-States,<=50K
43,Private,159388,Some-college,Divorced,Adm-clerical,Husband,White,Female,1,0,0,United-States,>50K
40,Private,174678,HS-grad,Never-married,Other-service,Own-child,Black,Male,0,0,2,United-States,<=50K
30,Private,199537,Some-college,Never-married,Other-service,Not-in-family,Black,Male,0,0,0,United-States,<=50K
39,Private,162435,Bachelors,Married-spouse-absent,Prof-specialty,Unmarried,White,Female,0,0,2,Germany,<=50K
37,Private,136321,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,Puerto-Rico,>50K
23,Private,200335,Bachelors,Never-married,Exec-managerial,Husband,White,Male,0,0,0,United-States,<=50K
32,Private,179730,HS-grad,Divorced,Farming-fishing,Husband,White,Male,0,0,0,Philippines,<=50K
37,Private,198085,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,0,United-States,<=50K
33,Local-gov,167278,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
