age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
49,0.0,110172,0,0,0.0,0,0,0,0,0,0,0.0,0
49,1.0,105431,0,1,1.0,1,1,1,0,0,0,0.0,0
31,1.0,34374,1,2,2.0,1,0,0,0,0,2,0.0,0
53,1.0,191025,2,1,3.0,1,0,1,0,0,1,0.0,0
30,1.0,108247,3,0,2.0,0,0,0,0,0,0,0.0,1
43,1.0,211128,4,1,4.0,1,0,1,0,0,2,0.0,1
27,1.0,389713,2,2,5.0,1,0,0,0,0,0,0.0,0
40,0.0,105717,4,2,3.0,1,0,1,0,1,0,0.0,0
49,2.0,194895,3,1,2.0,1,0,0,0,0,0,0.0,0
23,2.0,156423,3,2,2.0,2,0,1,0,0,0,0.0,0
33,0.0,222654,2,0,6.0,0,0,0,0,0,2,,0
50,0.0,154779,2,1,3.0,1,1,1,0,0,0,0.0,0
24,1.0,103064,3,2,7.0,1,0,1,1,0,0,0.0,0
44,1.0,267717,4,0,8.0,0,0,0,1,0,1,0.0,1
34,1.0,684015,5,2,6.0,2,0,0,0,0,0,1.0,0
41,3.0,151990,6,0,2.0,3,0,1,0,0,0,0.0,1
31,1.0,591711,2,3,0.0,1,1,0,0,0,0,,0
19,1.0,208366,0,2,6.0,1,0,0,0,0,0,0.0,0
25,1.0,236242,1,2,2.0,1,0,1,0,0,0,0.0,0
45,1.0,186473,0,1,3.0,4,0,1,0,0,0,0.0,0
17,1.0,38611,7,2,3.0,2,0,1,0,0,0,0.0,0
19,2.0,176634,0,2,3.0,2,0,1,0,0,0,0.0,0
19,,400356,2,2,,2,0,0,0,0,0,0.0,0
71,,205011,2,0,,0,0,0,0,0,0,0.0,0
36,1.0,246449,2,0,4.0,0,0,0,0,0,2,0.0,1
28,1.0,144833,2,0,6.0,0,0,0,0,0,0,0.0,0
30,2.0,361497,3,0,9.0,0,0,0,0,0,2,0.0,1
65,2.0,215908,0,0,3.0,0,0,0,0,1,0,0.0,1
28,1.0,185647,2,1,6.0,1,0,0,0,0,2,0.0,0
51,1.0,222615,0,0,10.0,0,0,0,0,0,0,0.0,1
21,1.0,136873,2,2,2.0,2,0,0,0,0,0,0.0,0
32,1.0,349365,2,0,5.0,0,1,0,0,0,2,0.0,0
51,4.0,190333,2,0,8.0,0,0,0,0,0,0,0.0,0
58,3.0,222311,0,0,1.0,0,0,0,1,0,2,0.0,1
53,5.0,134854,6,0,4.0,0,0,0,0,0,0,2.0,1
34,1.0,226525,6,2,1.0,2,0,0,0,0,0,0.0,0
34,0.0,325792,2,0,8.0,0,0,0,0,0,0,0.0,0
33,1.0,172498,2,1,6.0,2,0,0,0,0,0,0.0,0
43,4.0,410867,8,2,2.0,1,0,1,0,0,2,0.0,1
28,1.0,394927,2,0,7.0,0,0,0,0,0,0,0.0,1
18,1.0,216730,7,2,1.0,2,0,0,0,0,0,0.0,0
36,1.0,109133,2,2,4.0,1,0,0,0,0,0,0.0,0
25,3.0,257574,3,2,3.0,1,1,1,0,0,0,0.0,0
52,1.0,153751,9,4,1.0,1,1,1,0,0,0,0.0,0
22,3.0,108506,6,2,11.0,1,2,0,0,0,2,0.0,0
51,1.0,64643,0,2,11.0,1,0,0,0,0,2,,0
54,1.0,302146,0,4,1.0,4,1,1,0,0,0,0.0,0
45,4.0,102569,0,0,8.0,0,0,0,0,0,0,0.0,1
31,1.0,243165,3,2,2.0,4,0,0,0,0,0,0.0,0
30,1.0,147430,0,3,3.0,1,0,1,0,0,0,0.0,0
46,5.0,235320,4,1,5.0,1,0,0,0,0,2,0.0,1
20,1.0,218215,2,2,5.0,2,0,1,0,0,0,0.0,0
24,1.0,229773,0,2,10.0,2,0,0,0,0,0,0.0,0
74,1.0,211075,0,0,1.0,0,0,0,0,0,0,0.0,0
44,1.0,139338,10,1,0.0,4,1,0,0,0,0,0.0,0
53,1.0,113995,3,0,4.0,0,0,0,0,0,1,0.0,1
44,1.0,288433,2,2,3.0,2,1,1,0,0,0,0.0,0
52,1.0,180062,2,0,4.0,0,0,0,0,0,2,0.0,0
28,1.0,328949,1,0,2.0,0,0,0,0,0,2,0.0,0
31,1.0,60229,0,0,10.0,0,0,0,0,0,0,0.0,0
37,1.0,98776,0,0,11.0,0,0,0,0,0,0,0.0,0
71,1.0,228806,9,1,12.0,1,1,1,0,0,0,0.0,0
25,4.0,50053,3,2,7.0,1,0,0,0,0,1,0.0,0
26,1.0,333108,0,1,5.0,1,0,0,0,0,0,0.0,0
49,0.0,59612,4,0,2.0,0,0,0,0,0,0,0.0,1
51,1.0,103529,7,1,1.0,4,1,1,0,0,0,0.0,0
26,1.0,179569,2,2,3.0,1,0,1,0,0,0,0.0,0
62,1.0,208711,3,0,8.0,0,0,0,1,0,2,0.0,1
41,1.0,198316,2,2,8.0,1,0,0,0,0,2,3.0,0
27,1.0,100669,2,0,8.0,0,3,0,0,0,0,4.0,1
24,1.0,49218,0,1,10.0,1,0,0,0,0,0,0.0,0
52,1.0,190909,0,0,4.0,0,0,0,0,0,0,0.0,1
42,1.0,161510,3,0,5.0,0,0,0,1,0,0,0.0,1
29,1.0,174163,2,1,4.0,1,0,1,0,0,0,0.0,0
22,1.0,43646,0,0,8.0,2,0,0,0,0,0,0.0,0
39,1.0,80638,2,0,1.0,0,3,0,0,0,2,0.0,1
45,1.0,166636,0,1,1.0,5,1,1,0,0,0,0.0,0
57,1.0,437727,4,0,2.0,0,0,0,0,1,1,0.0,1
22,1.0,199266,3,2,4.0,1,0,1,0,0,0,0.0,0
39,4.0,255407,0,0,8.0,0,0,0,0,0,0,0.0,0
51,1.0,152810,0,0,2.0,0,0,0,0,0,0,0.0,1
22,1.0,141297,2,2,7.0,2,0,0,0,0,0,0.0,0
56,3.0,214323,7,0,8.0,0,0,0,0,0,0,0.0,0
26,1.0,134004,2,0,4.0,3,0,1,0,0,0,0.0,0
51,1.0,171409,2,0,0.0,0,0,0,0,0,0,0.0,1
69,3.0,107548,9,0,3.0,0,0,0,0,0,0,0.0,0
43,1.0,210844,3,1,4.0,1,1,1,0,0,0,0.0,1
45,1.0,187033,0,0,8.0,0,0,0,0,1,0,0.0,0
61,1.0,107438,11,0,0.0,0,1,0,0,1,0,0.0,0
36,2.0,110964,3,0,2.0,3,0,1,0,1,0,0.0,0
36,1.0,111128,3,0,2.0,0,0,0,0,0,2,0.0,1
39,1.0,52978,2,1,1.0,1,0,1,0,1,2,0.0,0
26,1.0,138152,10,2,8.0,5,4,0,0,0,2,5.0,0
43,,405374,2,4,,1,1,0,0,0,0,0.0,0
78,1.0,135566,0,5,5.0,4,0,1,1,0,0,0.0,0
29,1.0,210869,2,2,5.0,2,1,0,0,0,2,0.0,0
20,1.0,137895,0,0,5.0,0,0,0,0,0,1,0.0,0
59,1.0,147989,0,0,10.0,0,0,0,0,0,0,,0
50,2.0,78649,2,3,3.0,4,2,1,0,0,0,0.0,0
49,0.0,405309,6,0,8.0,0,0,0,0,0,0,0.0,1
18,1.0,238867,7,2,6.0,2,0,0,0,1,0,0.0,0
37,1.0,295127,2,1,1.0,1,0,0,0,0,2,0.0,0
55,3.0,422249,0,0,8.0,0,0,0,0,0,2,0.0,0
28,1.0,167336,2,2,4.0,1,0,1,1,0,0,0.0,1
38,1.0,116358,2,0,1.0,0,3,0,0,0,0,4.0,0
44,1.0,332401,1,0,2.0,0,0,0,1,0,2,0.0,1
20,,189740,2,2,,2,0,1,0,0,0,0.0,0
55,1.0,277034,2,1,9.0,1,0,0,0,0,0,0.0,0
33,1.0,188467,0,2,11.0,1,0,0,0,0,0,0.0,0
28,3.0,188278,3,0,8.0,0,0,0,0,0,2,0.0,0
