age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
49,Local-gov,110172,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,0,United-States,<=50K
49,Private,105431,HS-grad,Divorced,Other-service,Not-in-family,Black,Female,0,0,0,United-States,<=50K
31,Private,34374,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,2,United-States,<=50K
53,Private,191025,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,1,United-States,<=50K
30,Private,108247,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0,United-States,>50K
43,Private,211128,Masters,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,2,United-States,>50K
27,Private,389713,Some-college,Never-married,Sales,Not-in-family,White,Male,0,0,0,United-States,<=50K
40,Local-gov,105717,Masters,Never-married,Adm-clerical,Not-in-family,White,Female,0,1,0,United-States,<=50K
49,State-gov,194895,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,0,United-States,<=50K
23,State-gov,156423,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,0,0,0,United-States,<=50K
33,Local-gov,222654,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,2,,<=50K
50,Local-gov,154779,Some-college,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,0,United-States,<=50K
24,Private,103064,Bachelors,Never-married,Tech-support,Not-in-family,White,Female,1,0,0,United-States,<=50K
44,Private,267717,Masters,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,1,United-States,>50K
34,Private,684015,5th-6th,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,0,El-Salvador,<=50K
41,Self-emp-not-inc,151990,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,0,United-States,>50K
31,Private,591711,Some-college,Married-spouse-absent,Transport-moving,Not-in-family,Black,Male,0,0,0,,<=50K
19,Private,208366,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,0,United-States,<=50K
25,Private,236242,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,0,United-States,<=50K
45,Private,186473,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0,0,0,United-States,<=50K
17,Private,38611,11th,Never-married,Adm-clerical,Own-child,White,Female,0,0,0,United-States,<=50K
19,State-gov,176634,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,0,0,0,United-States,<=50K
19,,400356,Some-college,Never-married,,Own-child,White,Male,0,0,0,United-States,<=50K
71,,205011,Some-college,Married-civ-spouse,,Husband,White,Male,0,0,0,United-States,<=50K
36,Private,246449,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,>50K
28,Private,144833,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,0,United-States,<=50K
30,State-gov,361497,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,2,United-States,>50K
65,State-gov,215908,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1,0,United-States,>50K
28,Private,185647,Some-college,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,2,United-States,<=50K
51,Private,222615,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0,United-States,>50K
21,Private,136873,Some-college,Never-married,Prof-specialty,Own-child,White,Male,0,0,0,United-States,<=50K
32,Private,349365,Some-college,Married-civ-spouse,Sales,Husband,Black,Male,0,0,2,United-States,<=50K
51,Federal-gov,190333,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,<=50K
58,Self-emp-not-inc,222311,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,1,0,2,United-States,>50K
53,Self-emp-inc,134854,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0,Greece,>50K
34,Private,226525,Assoc-voc,Never-married,Other-service,Own-child,White,Male,0,0,0,United-States,<=50K
34,Local-gov,325792,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,<=50K
33,Private,172498,Some-college,Divorced,Handlers-cleaners,Own-child,White,Male,0,0,0,United-States,<=50K
43,Federal-gov,410867,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,2,United-States,>50K
28,Private,394927,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,0,United-States,>50K
18,Private,216730,11th,Never-married,Other-service,Own-child,White,Male,0,0,0,United-States,<=50K
36,Private,109133,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,0,United-States,<=50K
25,Self-emp-not-inc,257574,Bachelors,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,0,United-States,<=50K
52,Private,153751,9th,Separated,Other-service,Not-in-family,Black,Female,0,0,0,United-States,<=50K
22,Self-emp-not-inc,108506,Assoc-voc,Never-married,Farming-fishing,Not-in-family,Amer-Indian-Eskimo,Male,0,0,2,United-States,<=50K
51,Private,64643,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,2,,<=50K
54,Private,302146,HS-grad,Separated,Other-service,Unmarried,Black,Female,0,0,0,United-States,<=50K
45,Federal-gov,102569,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,>50K
31,Private,243165,Bachelors,Never-married,Prof-specialty,Unmarried,White,Male,0,0,0,United-States,<=50K
30,Private,147430,HS-grad,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,0,0,0,United-States,<=50K
46,Self-emp-inc,235320,Masters,Divorced,Sales,Not-in-family,White,Male,0,0,2,United-States,>50K
20,Private,218215,Some-college,Never-married,Sales,Own-child,White,Female,0,0,0,United-States,<=50K
24,Private,229773,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,0,United-States,<=50K
74,Private,211075,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,0,0,United-States,<=50K
44,Private,139338,12th,Divorced,Transport-moving,Unmarried,Black,Male,0,0,0,United-States,<=50K
53,Private,113995,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,>50K
44,Private,288433,Some-college,Never-married,Adm-clerical,Own-child,Black,Female,0,0,0,United-States,<=50K
52,Private,180062,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,<=50K
28,Private,328949,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
31,Private,60229,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0,United-States,<=50K
37,Private,98776,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,0,United-States,<=50K
71,Private,228806,9th,Divorced,Priv-house-serv,Not-in-family,Black,Female,0,0,0,United-States,<=50K
25,Federal-gov,50053,Bachelors,Never-married,Tech-support,Not-in-family,White,Male,0,0,1,United-States,<=50K
